Network; click for storage info,#pos ss,mixed volume,overcount,,polynomials,output from networkmaker.py,notes,network
2 2 2 0 3 0 0 3 0 3 2 1 2 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""A+A-->A""}, NullSymbol => ""0"")","a*b , -a^2 - a*b","A+B-->B+B , A+A-->A",,
2 2 2 0 3 0 3 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->0"" , ""B+B-->A""}, NullSymbol => ""0"")","-a*b - 2*b^2 , -a*b + b^2","A+B-->0 , B+B-->A",,
2 2 2 0 3 0 0 3 0 3 3 1 3 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""B+B-->A""}, NullSymbol => ""0"")","a*b - 2*b^2 , -a*b + b^2","A+B-->B+B , B+B-->A",,
2 2 2 0 3 0 0 3 0 3 1 2 1 3,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""0-->A+B""}, NullSymbol => ""0"")","a*b + 1 , -a*b + 1","A+B-->B+B , 0-->A+B",,
2 2 2 0 3 0 0 3 0 3 2 1 2 1 1 2 1 3,0,1,1,"N = reactionNetwork({""A+B-->B+B"" , ""A+A-->A+B""}, NullSymbol => ""0"")","a^2 + a*b , -a^2 - a*b , a + b - 2","A+B-->B+B , A+A-->A+B",,
2 2 2 0 3 0 0 3 0 3 3 1 3 1 1 2 1 3,1,1,0,"N = reactionNetwork({""A+B-->B+B"" , ""B+B-->A+B""}, NullSymbol => ""0"")","a*b - b^2 , -a*b + b^2 , a + b - 2","A+B-->B+B , B+B-->A+B",,
2 2 2 0 3 0 0 3 2 1 2 1 1 3,0,0,0,"N = reactionNetwork({""A+B-->B"" , ""A+A-->B""}, NullSymbol => ""0"")","a^2 , -2*a^2 - a*b","A+B-->B , A+A-->B",,
2 2 2 0 3 0 0 3 2 1 2 1 1 2,0,1,1,"N = reactionNetwork({""A+B-->B"" , ""A+A-->A""}, NullSymbol => ""0"")","-a^2 - a*b , 0 , b - 1","A+B-->B , A+A-->A",,
2 2 2 0 3 0 0 2 2 1 2 1 1 3,0,0,0,"N = reactionNetwork({""A+B-->A"" , ""A+A-->B""}, NullSymbol => ""0"")","a^2 - a*b , -2*a^2","A+B-->A , A+A-->B",,
2 2 2 0 3 0 0 2 2 1 2 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->A"" , ""A+A-->A""}, NullSymbol => ""0"")","-a*b , -a^2","A+B-->A , A+A-->A",,
2 2 2 0 3 0 0 2 1 2 1 3,0,0,0,"N = reactionNetwork({""A+B-->A"" , ""0-->A+B""}, NullSymbol => ""0"")","-a*b + 1 , 1","A+B-->A , 0-->A+B",,
2 2 2 0 3 0 0 2 2 1 2 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A+B-->A"" , ""A+A-->A+B""}, NullSymbol => ""0"")","a^2 - a*b , -a^2","A+B-->A , A+A-->A+B",,
2 2 2 0 3 0 0 2 3 1 3 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A+B-->A"" , ""B+B-->A+B""}, NullSymbol => ""0"")","-a*b - b^2 , b^2","A+B-->A , B+B-->A+B",,
2 2 2 0 3 0 3 1 1 2,0,0,0,"N = reactionNetwork({""A+B-->0"" , ""B-->A""}, NullSymbol => ""0"")","-a*b - b , -a*b + b","A+B-->0 , B-->A",,
2 2 2 0 3 0 0 3 0 3 3 1 1 2,1,1,0,"N = reactionNetwork({""A+B-->B+B"" , ""B-->A""}, NullSymbol => ""0"")","a*b - b , -a*b + b, a + b - 2","A+B-->B+B , B-->A",,
2 2 2 0 3 0 0 3 0 3 3 1 1 2 1 3,0,0,0,"N = reactionNetwork({""A+B-->B+B"" , ""B-->A+B""}, NullSymbol => ""0"")","a*b , -a*b + b","A+B-->B+B , B-->A+B",,
